1 0 ᚪ,ᛈ,3125047539,ᚳ,3815317210,ᛋ,4667037839,ᚱ,1867949363,ᛞ,1853965339,ᚷ,1467074657,ᚢ,1038157064,ᛏ,1400977222,ᛗ,2532392663,ᚻ,1114025454,ᛚ,2136553780,ᛒ,1653191722,ᚠ,2218298411,ᛂ,249523378,ᚹ,1365114294,ᚦ,377180561,ᚾ,1325192691,ᚪ,117673888,ᛁ,57855508,ᛖ,35469264,ᚣ,282883970,ᛉ,1105592,ᚩ,79243013,ᚫ,108514,ᛡ,339207,ᛇ,19114,ᛠ,1849024,ᛝ,173159,ᛟ,11314,E,196310887
1 0 ᛁ,ᚢ,109049461,ᚱ,267707566,ᛞ,670505087,ᛈ,174913826,ᚳ,885319928,ᛁ,97835547,ᚪ,834281630,ᚠ,283140229,ᛖ,91375266,ᛒ,269404293,ᚩ,102482347,ᛏ,223856300,ᛗ,339902256,ᚷ,179325434,ᚻ,1033532554,ᛋ,909214792,ᚹ,1224736315,ᚾ,148593769,ᛚ,199115093,ᚦ,533588538,ᚫ,56217,ᛂ,51124834,ᛡ,477036,ᚣ,14238342,ᛠ,4415753,ᛇ,11864,ᛉ,1920023,ᛝ,65734,ᛟ,10914,E,136587093
1 0 ᛋ,ᛞ,81586635,ᚷ,47016026,ᚳ,148114220,ᚢ,30383009,ᛖ,53269115,ᚪ,139068556,ᛈ,96093739,ᛏ,51155415,ᛚ,61758687,ᛁ,54034577,ᛗ,75640118,ᛋ,125817450,ᚱ,73706260,ᚾ,50197543,ᚩ,55394332,ᚻ,63824910,ᛒ,78138485,ᚠ,68887486,ᚹ,71925944,ᚦ,36231090,ᛂ,15095940,ᚫ,222199,ᛠ,4202512,ᛡ,215140,ᚣ,5613912,ᛉ,809612,ᛝ,211429,ᛟ,80699,ᛇ,4402,E,127743433
1 0 ᛗ,ᚢ,10680796,ᚳ,43326409,ᚱ,19200390,ᛗ,27932040,ᛞ,29250204,ᚠ,19021113,ᚻ,24688660,ᛋ,46081491,ᛒ,30495756,ᚷ,17832846,ᛏ,15553997,ᛁ,21045628,ᚪ,62095236,ᛖ,18129088,ᛈ,22857287,ᚹ,26620370,ᛚ,20484709,ᚩ,14218866,ᚾ,11200379,ᚦ,20666385,ᛂ,10401255,ᚫ,24602,ᛡ,98495,ᚣ,2567449,ᛇ,6253,ᛠ,953071,ᛉ,408496,ᛝ,178616,ᛟ,6417,E,104479680
1 0 ᚢ,ᚳ,86335351,ᛞ,29906131,ᚱ,32624582,ᛗ,49648247,ᛚ,27217375,ᚢ,32809398,ᚹ,45629130,ᚠ,28725552,ᛈ,40176497,ᚻ,39644296,ᛁ,30099337,ᚷ,26282443,ᛋ,98410945,ᛖ,14479834,ᛒ,58827226,ᚾ,20715380,ᚪ,53971171,ᚩ,26079637,ᛏ,24652898,ᛂ,17201020,ᚦ,25599890,ᚫ,66052,ᛡ,414379,ᚣ,3225952,ᛉ,1022255,ᛠ,1902644,ᛝ,296429,ᛇ,4849,ᛟ,1028,E,47853554
1 0 ᛉ,ᚳ,8385273,ᚱ,52579708,ᛁ,16441389,ᚪ,22149007,ᛖ,1971086,ᚢ,2521085,ᛞ,4383858,ᛈ,3777187,ᚠ,4924343,ᛗ,4437626,ᚷ,1458912,ᛏ,3779602,ᚻ,3022504,ᚩ,5711050,ᛋ,6759624,ᛚ,3557627,ᛒ,4986039,ᚾ,2287076,ᛉ,1927804,ᚹ,6723955,ᚦ,6074502,ᚫ,6518,ᛂ,396686,ᚣ,702354,ᛡ,24387,ᛠ,116222,ᛝ,6418,ᛇ,51,ᛟ,213,E,15811481
1 0 ᛏ,ᛚ,11143714,ᚢ,5911853,ᛋ,35139252,ᚳ,38068483,ᛞ,10813322,ᚱ,13323194,ᛁ,24798130,ᚻ,23626547,ᚠ,11713595,ᛗ,16444661,ᚪ,36366504,ᚷ,7766882,ᛏ,14160375,ᛖ,10103165,ᛈ,12812111,ᚹ,22163212,ᛒ,19513004,ᚩ,11183086,ᚾ,5604507,ᚦ,15718047,ᚫ,20791,ᚣ,2758982,ᛂ,4924196,ᛡ,488036,ᛠ,627211,ᛉ,228873,ᛝ,138359,ᛟ,1562,ᛇ,1086,E,35506096
1 0 ᛒ,ᛚ,15796505,ᚢ,9934679,ᛖ,12923283,ᚱ,17758463,ᚳ,43543750,ᛗ,26501040,ᚪ,65034842,ᛞ,17376173,ᛈ,21287290,ᛁ,26828347,ᚻ,22041801,ᛋ,40133156,ᚠ,20743675,ᚷ,11237549,ᛒ,23869517,ᛏ,14647635,ᛂ,8168586,ᚹ,27636825,ᚩ,17693339,ᚾ,13399832,ᚦ,22108702,ᚫ,28785,ᛡ,116873,ᛉ,556006,ᚣ,2704960,ᛇ,2416,ᛠ,916731,ᛝ,92271,ᛟ,3274,E,140010847
1 0 ᛖ,ᚷ,15299806,ᚱ,20039638,ᚢ,8139319,ᛞ,19631894,ᛗ,87792057,ᚠ,19086426,ᛈ,22336478,ᚻ,23439364,ᛁ,19478115,ᚾ,8658143,ᚪ,48177765,ᚳ,42734978,ᛋ,40937349,ᛖ,14378593,ᚹ,27298234,ᛏ,13938659,ᛒ,32299172,ᛚ,20597690,ᚩ,16145539,ᚦ,15277970,ᚫ,27935,ᛂ,9076619,ᛡ,94471,ᛠ,1059631,ᚣ,2055242,ᛇ,3002,ᛉ,216906,ᛝ,144533,ᛟ,3172,E,73511669
1 0 ᛞ,ᛖ,14401113,ᚪ,52453381,ᚢ,8056436,ᚱ,18945701,ᛞ,18671453,ᛁ,22541017,ᛗ,26635436,ᚳ,33741064,ᚠ,17365160,ᛈ,22982633,ᛚ,16982057,ᛋ,33959710,ᛏ,12946189,ᚷ,12894508,ᚻ,19443459,ᚩ,14963261,ᚹ,23372606,ᛒ,27075089,ᚦ,16836512,ᚾ,9126096,ᚫ,28129,ᛂ,6862738,ᛡ,148270,ᚣ,1883919,ᛇ,1231,ᛠ,747007,ᛉ,580442,ᛟ,19921,ᛝ,125163,E,92917271
